,Name,First Name,Last Name,Identifier,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,Email,Section,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total quizzes,Average quizzes,Quiz Score,Final score,Ceiling score,Final Grade
41,"Jones, Daniel",Daniel,Jones,dcj14616,61.0,80,2019-08-29,49,80,2019-09-05,78,80,2019-09-12,98,100,2019-09-19,56,70,2019-09-26,85,90,2019-10-03,32,50,2019-10-10,42,70,2019-10-17,40,60,2019-10-24,58,60,2019-10-31,79,100,2019-10-08,68,100,2019-11-08,61,100,2019-12-08,daniel.jones@univ.edu,1,8,8,11,7,10,0.79,0.68,0.61,0.8094594594594594,0.7947777777777778,0.8094594594594594,0.6376811594202898,0.6481996434937611,0.6481996434937611,0.7172436768319121,72.0,C
43,"Beck, David",David,Beck,djb29817,62.0,80,2019-08-29,79,80,2019-09-05,48,80,2019-09-12,61,100,2019-09-19,43,70,2019-09-26,59,90,2019-10-03,42,50,2019-10-10,51,70,2019-10-17,55,60,2019-10-24,39,60,2019-10-31,91,100,2019-10-08,74,100,2019-11-08,65,100,2019-12-08,david.beck@univ.edu,1,4,7,7,12,7,0.91,0.74,0.65,0.7283783783783784,0.7377579365079365,0.7377579365079365,0.5362318840579711,0.5365087853323148,0.5365087853323148,0.6730558102028691,68.0,D
46,"Nguyen, Donna",Donna,Nguyen,dxn21936,52.0,80,2019-08-29,78,80,2019-09-05,59,80,2019-09-12,76,100,2019-09-19,55,70,2019-09-26,58,90,2019-10-03,32,50,2019-10-10,65,70,2019-10-17,48,60,2019-10-24,46,60,2019-10-31,70,100,2019-10-08,87,100,2019-11-08,64,100,2019-12-08,donna.nguyen@univ.edu,1,7,12,14,9,4,0.7,0.87,0.64,0.768918918918919,0.7687896825396825,0.768918918918919,0.6666666666666666,0.6472167048637637,0.6666666666666666,0.7255675675675676,73.0,C
47,"Payne, Douglas",Douglas,Payne,dxp49123,48.0,80,2019-08-29,55,80,2019-09-05,49,80,2019-09-12,62,100,2019-09-19,46,70,2019-09-26,90,90,2019-10-03,35,50,2019-10-10,62,70,2019-10-17,51,60,2019-10-24,51,60,2019-10-31,74,100,2019-10-08,71,100,2019-11-08,96,100,2019-12-08,douglas.payne@univ.edu,1,8,7,7,12,5,0.74,0.71,0.96,0.7418918918918919,0.7462857142857142,0.7462857142857142,0.5652173913043478,0.575902724726254,0.575902724726254,0.7232851031321619,73.0,C
49,"Dudley, Emily",Emily,Dudley,eed42850,53.0,80,2019-08-29,80,80,2019-09-05,62,80,2019-09-12,93,100,2019-09-19,70,70,2019-09-26,62,90,2019-10-03,40,50,2019-10-10,62,70,2019-10-17,37,60,2019-10-24,37,60,2019-10-31,96,100,2019-10-08,73,100,2019-11-08,76,100,2019-12-08,emily.dudley@univ.edu,1,5,9,8,9,9,0.96,0.73,0.76,0.8054054054054054,0.7975436507936509,0.8054054054054054,0.5797101449275363,0.5835981665393429,0.5835981665393429,0.7322416121239651,74.0,C
50,"Houston, Emily",Emily,Houston,edh14938,54.0,80,2019-08-29,60,80,2019-09-05,56,80,2019-09-12,71,100,2019-09-19,56,70,2019-09-26,71,90,2019-10-03,46,50,2019-10-10,55,70,2019-10-17,52,60,2019-10-24,40,60,2019-10-31,100,100,2019-10-08,78,100,2019-11-08,87,100,2019-12-08,emily.houston@univ.edu,1,8,9,17,5,11,1.0,0.78,0.87,0.7581081081081081,0.7662936507936509,0.7662936507936509,0.7246376811594203,0.7202164502164502,0.7246376811594203,0.7824087646652864,79.0,C
51,"Duffy, Erin",Erin,Duffy,exd72538,66.0,80,2019-08-29,54,80,2019-09-05,50,80,2019-09-12,65,100,2019-09-19,56,70,2019-09-26,65,90,2019-10-03,35,50,2019-10-10,46,70,2019-10-17,46,60,2019-10-24,59,60,2019-10-31,85,100,2019-10-08,92,100,2019-11-08,88,100,2019-12-08,erin.duffy@univ.edu,1,9,12,14,5,10,0.85,0.92,0.88,0.7324324324324324,0.7404365079365081,0.7404365079365081,0.7246376811594203,0.7264374840845429,0.7264374840845429,0.780605848399966,79.0,C
56,"Underwood, James",James,Underwood,jxu45537,65.0,80,2019-08-29,74,80,2019-09-05,73,80,2019-09-12,81,100,2019-09-19,66,70,2019-09-26,79,90,2019-10-03,40,50,2019-10-10,45,70,2019-10-17,51,60,2019-10-24,39,60,2019-10-31,77,100,2019-10-08,76,100,2019-11-08,84,100,2019-12-08,james.underwood@univ.edu,1,5,13,8,9,9,0.77,0.76,0.84,0.8283783783783784,0.8223492063492064,0.8283783783783784,0.6376811594202898,0.6369314998726764,0.6376811594202898,0.7631556991774383,77.0,C
60,"Garza, Jessica",Jessica,Garza,jag55224,49.0,80,2019-08-29,77,80,2019-09-05,71,80,2019-09-12,69,100,2019-09-19,44,70,2019-09-26,74,90,2019-10-03,46,50,2019-10-10,64,70,2019-10-17,46,60,2019-10-24,55,60,2019-10-31,90,100,2019-10-08,79,100,2019-11-08,62,100,2019-12-08,jessica.garza@univ.edu,1,8,8,16,11,10,0.9,0.79,0.62,0.8040540540540541,0.8120912698412699,0.8120912698412699,0.7681159420289855,0.764166030048383,0.7681159420289855,0.7722712905452036,78.0,C
61,"Walsh, Jill",Jill,Walsh,jxw98212,65.0,80,2019-08-29,48,80,2019-09-05,49,80,2019-09-12,73,100,2019-09-19,47,70,2019-09-26,74,90,2019-10-03,38,50,2019-10-10,68,70,2019-10-17,50,60,2019-10-24,38,60,2019-10-31,73,100,2019-10-08,99,100,2019-11-08,78,100,2019-12-08,jill.walsh@univ.edu,1,6,13,6,9,4,0.73,0.99,0.78,0.7432432432432432,0.7446746031746031,0.7446746031746031,0.5507246376811594,0.5482505729564553,0.5507246376811594,0.715587232574189,72.0,C
64,"Harris, John",John,Harris,jlh15029,74.0,80,2019-08-29,77,80,2019-09-05,53,80,2019-09-12,89,100,2019-09-19,69,70,2019-09-26,87,90,2019-10-03,47,50,2019-10-10,43,70,2019-10-17,39,60,2019-10-24,60,60,2019-10-31,91,100,2019-10-08,90,100,2019-11-08,95,100,2019-12-08,john.harris@univ.edu,1,9,14,12,6,12,0.91,0.9,0.95,0.8621621621621621,0.8596666666666668,0.8621621621621621,0.7681159420289855,0.7771937866055513,0.7771937866055513,0.8560230008465303,86.0,B
66,"Bauer, John",John,Bauer,jxb40799,57.0,80,2019-08-29,70,80,2019-09-05,73,80,2019-09-12,83,100,2019-09-19,56,70,2019-09-26,89,90,2019-10-03,38,50,2019-10-10,57,70,2019-10-17,57,60,2019-10-24,44,60,2019-10-31,64,100,2019-10-08,88,100,2019-11-08,92,100,2019-12-08,john.bauer@univ.edu,1,4,7,13,9,8,0.64,0.88,0.92,0.8432432432432433,0.8376507936507936,0.8432432432432433,0.5942028985507246,0.5809065444359562,0.5942028985507246,0.7735581668625147,78.0,C
69,"Pena, Jonathan",Jonathan,Pena,jmp63760,53.0,80,2019-08-29,74,80,2019-09-05,55,80,2019-09-12,70,100,2019-09-19,51,70,2019-09-26,74,90,2019-10-03,33,50,2019-10-10,63,70,2019-10-17,47,60,2019-10-24,42,60,2019-10-31,74,100,2019-10-08,79,100,2019-11-08,84,100,2019-12-08,jonathan.pena@univ.edu,1,9,8,13,10,5,0.74,0.79,0.84,0.7594594594594595,0.7569126984126984,0.7594594594594595,0.6521739130434783,0.6494346829640947,0.6521739130434783,0.7414359576968272,75.0,C
70,"Miller, Jorge",Jorge,Miller,jxm83777,69.0,80,2019-08-29,56,80,2019-09-05,59,80,2019-09-12,88,100,2019-09-19,50,70,2019-09-26,67,90,2019-10-03,47,50,2019-10-10,64,70,2019-10-17,58,60,2019-10-24,57,60,2019-10-31,74,100,2019-10-08,73,100,2019-11-08,81,100,2019-12-08,jorge.miller@univ.edu,1,10,10,6,14,11,0.74,0.73,0.81,0.831081081081081,0.8409682539682539,0.8409682539682539,0.7391304347826086,0.7690730837789661,0.7690730837789661,0.7986092267209914,80.0,B
71,"Young, Joseph",Joseph,Young,jty40106,51.0,80,2019-08-29,69,80,2019-09-05,60,80,2019-09-12,68,100,2019-09-19,67,70,2019-09-26,63,90,2019-10-03,49,50,2019-10-10,42,70,2019-10-17,55,60,2019-10-24,49,60,2019-10-31,72,100,2019-10-08,68,100,2019-11-08,96,100,2019-12-08,joseph.young@univ.edu,1,8,14,12,11,10,0.72,0.68,0.96,0.7743243243243243,0.790047619047619,0.790047619047619,0.7971014492753623,0.7971072065189713,0.7971072065189713,0.8031512095747391,81.0,B
72,"Walls, Joyce",Joyce,Walls,jxw53347,59.0,80,2019-08-29,77,80,2019-09-05,61,80,2019-09-12,84,100,2019-09-19,44,70,2019-09-26,64,90,2019-10-03,40,50,2019-10-10,45,70,2019-10-17,40,60,2019-10-24,42,60,2019-10-31,69,100,2019-10-08,73,100,2019-11-08,91,100,2019-12-08,joyce.walls@univ.edu,1,10,6,9,7,12,0.69,0.73,0.91,0.7513513513513513,0.745170634920635,0.7513513513513513,0.6376811594202898,0.6677005347593583,0.6677005347593583,0.744850700968348,75.0,C
73,"Faulkner, Katelyn",Katelyn,Faulkner,kxf45205,65.0,80,2019-08-29,65,80,2019-09-05,55,80,2019-09-12,90,100,2019-09-19,69,70,2019-09-26,65,90,2019-10-03,34,50,2019-10-10,69,70,2019-10-17,44,60,2019-10-24,42,60,2019-10-31,68,100,2019-10-08,60,100,2019-11-08,61,100,2019-12-08,katelyn.faulkner@univ.edu,1,6,12,17,14,6,0.68,0.6,0.61,0.8081081081081081,0.8019484126984127,0.8081081081081081,0.7971014492753623,0.7690909090909092,0.7971014492753623,0.7478736780258519,75.0,C
75,"Smith, Kerry",Kerry,Smith,kxs29884,53.0,80,2019-08-29,73,80,2019-09-05,53,80,2019-09-12,71,100,2019-09-19,63,70,2019-09-26,69,90,2019-10-03,50,50,2019-10-10,44,70,2019-10-17,55,60,2019-10-24,49,60,2019-10-31,62,100,2019-10-08,95,100,2019-11-08,84,100,2019-12-08,kerry.smith@univ.edu,1,4,13,16,5,5,0.62,0.95,0.84,0.7837837837837838,0.797607142857143,0.797607142857143,0.6231884057971014,0.5890578049401579,0.6231884057971014,0.7579993788819877,76.0,C
77,"Moore, Kimberly",Kimberly,Moore,kam90876,79.0,80,2019-08-29,60,80,2019-09-05,70,80,2019-09-12,90,100,2019-09-19,54,70,2019-09-26,61,90,2019-10-03,38,50,2019-10-10,54,70,2019-10-17,46,60,2019-10-24,36,60,2019-10-31,64,100,2019-10-08,96,100,2019-11-08,64,100,2019-12-08,kimberly.moore@univ.edu,1,6,14,17,8,4,0.64,0.96,0.64,0.7945945945945946,0.7859801587301587,0.7945945945945946,0.7101449275362319,0.6767099567099566,0.7101449275362319,0.7548813160987075,76.0,C
80,"Petersen, Kristin",Kristin,Petersen,ksp17362,49.0,80,2019-08-29,77,80,2019-09-05,75,80,2019-09-12,90,100,2019-09-19,54,70,2019-09-26,90,90,2019-10-03,45,50,2019-10-10,47,70,2019-10-17,46,60,2019-10-24,40,60,2019-10-31,97,100,2019-10-08,68,100,2019-11-08,97,100,2019-12-08,kristin.petersen@univ.edu,1,8,8,7,5,5,0.97,0.68,0.97,0.8283783783783784,0.8188690476190477,0.8283783783783784,0.4782608695652174,0.4892360580595875,0.4892360580595875,0.7401221687692277,75.0,C
89,"Baldwin, Lucas",Lucas,Baldwin,lxb98047,79.0,80,2019-08-29,50,80,2019-09-05,77,80,2019-09-12,95,100,2019-09-19,55,70,2019-09-26,76,90,2019-10-03,30,50,2019-10-10,67,70,2019-10-17,55,60,2019-10-24,50,60,2019-10-31,83,100,2019-10-08,74,100,2019-11-08,97,100,2019-12-08,lucas.baldwin@univ.edu,1,7,10,9,12,11,0.83,0.74,0.97,0.8567567567567568,0.8462301587301587,0.8567567567567568,0.7101449275362319,0.7212503183091419,0.7212503183091419,0.8200777981954454,83.0,B
94,"Lopez, Mark",Mark,Lopez,msl77920,58.0,80,2019-08-29,51,80,2019-09-05,55,80,2019-09-12,69,100,2019-09-19,65,70,2019-09-26,81,90,2019-10-03,32,50,2019-10-10,59,70,2019-10-17,45,60,2019-10-24,40,60,2019-10-31,94,100,2019-10-08,87,100,2019-11-08,78,100,2019-12-08,mark.lopez@univ.edu,1,4,15,15,7,9,0.94,0.87,0.78,0.75,0.7468095238095238,0.75,0.7246376811594203,0.6991978609625669,0.7246376811594203,0.7683913043478261,77.0,C
95,"Patrick, Mark",Mark,Patrick,mjp68159,70.0,80,2019-08-29,65,80,2019-09-05,73,80,2019-09-12,84,100,2019-09-19,68,70,2019-09-26,74,90,2019-10-03,34,50,2019-10-10,43,70,2019-10-17,36,60,2019-10-24,55,60,2019-10-31,92,100,2019-10-08,65,100,2019-11-08,80,100,2019-12-08,mark.patrick@univ.edu,1,10,11,10,8,4,0.92,0.65,0.8,0.8135135135135135,0.8044603174603173,0.8135135135135135,0.6231884057971014,0.6270842882607588,0.6270842882607588,0.7445306918836331,75.0,C
96,"Gonzalez, Matthew",Matthew,Gonzalez,mjg41514,75.0,80,2019-08-29,74,80,2019-09-05,76,80,2019-09-12,70,100,2019-09-19,46,70,2019-09-26,62,90,2019-10-03,45,50,2019-10-10,49,70,2019-10-17,58,60,2019-10-24,52,60,2019-10-31,78,100,2019-10-08,73,100,2019-11-08,60,100,2019-12-08,matthew.gonzalez@univ.edu,1,7,6,16,11,12,0.78,0.73,0.6,0.8202702702702702,0.8291865079365082,0.8291865079365082,0.7536231884057971,0.7526508785332314,0.7536231884057971,0.7597615596963424,76.0,C
97,"Smith, Matthew",Matthew,Smith,mxs33416,75.0,80,2019-08-29,53,80,2019-09-05,57,80,2019-09-12,69,100,2019-09-19,53,70,2019-09-26,78,90,2019-10-03,50,50,2019-10-10,51,70,2019-10-17,47,60,2019-10-24,42,60,2019-10-31,66,100,2019-10-08,63,100,2019-11-08,93,100,2019-12-08,matthew.smith@univ.edu,1,8,14,7,7,8,0.66,0.63,0.93,0.777027027027027,0.7838214285714286,0.7838214285714286,0.6376811594202898,0.647807486631016,0.647807486631016,0.7433708174178761,75.0,C
101,"Jones, Michele",Michele,Jones,mxj54725,67.0,80,2019-08-29,61,80,2019-09-05,65,80,2019-09-12,95,100,2019-09-19,63,70,2019-09-26,89,90,2019-10-03,42,50,2019-10-10,58,70,2019-10-17,43,60,2019-10-24,55,60,2019-10-31,100,100,2019-10-08,82,100,2019-11-08,63,100,2019-12-08,michele.jones@univ.edu,1,7,6,12,6,6,1.0,0.82,0.63,0.8621621621621621,0.855329365079365,0.8621621621621621,0.5362318840579711,0.5341634835752482,0.5362318840579711,0.7322344300822562,74.0,C
103,"Lee, Michelle",Michelle,Lee,mxl67812,56.0,80,2019-08-29,68,80,2019-09-05,57,80,2019-09-12,74,100,2019-09-19,53,70,2019-09-26,89,90,2019-10-03,32,50,2019-10-10,57,70,2019-10-17,48,60,2019-10-24,39,60,2019-10-31,91,100,2019-10-08,76,100,2019-11-08,77,100,2019-12-08,michelle.lee@univ.edu,1,9,13,16,10,10,0.91,0.76,0.77,0.7743243243243243,0.7652817460317459,0.7743243243243243,0.8405797101449275,0.8347288006111535,0.8405797101449275,0.7989036427732079,80.0,B
105,"Mann, Nicole",Nicole,Mann,nxm87406,73.0,80,2019-08-29,53,80,2019-09-05,80,80,2019-09-12,75,100,2019-09-19,60,70,2019-09-26,88,90,2019-10-03,49,50,2019-10-10,70,70,2019-10-17,54,60,2019-10-24,45,60,2019-10-31,99,100,2019-10-08,85,100,2019-11-08,97,100,2019-12-08,nicole.mann@univ.edu,1,11,8,12,11,9,0.99,0.85,0.97,0.8743243243243243,0.8789920634920636,0.8789920634920636,0.7391304347826086,0.754985994397759,0.754985994397759,0.8580926237161531,86.0,B
109,"King, Paige",Paige,King,pmk49230,61.0,80,2019-08-29,61,80,2019-09-05,61,80,2019-09-12,75,100,2019-09-19,63,70,2019-09-26,86,90,2019-10-03,43,50,2019-10-10,64,70,2019-10-17,50,60,2019-10-24,46,60,2019-10-31,97,100,2019-10-08,99,100,2019-11-08,63,100,2019-12-08,paige.king@univ.edu,1,8,13,17,14,9,0.97,0.99,0.63,0.8243243243243243,0.826734126984127,0.826734126984127,0.8840579710144928,0.8687878787878788,0.8840579710144928,0.8379110420979987,84.0,B
113,"Rice, Rhonda",Rhonda,Rice,rkr43763,77.0,80,2019-08-29,48,80,2019-09-05,53,80,2019-09-12,68,100,2019-09-19,67,70,2019-09-26,67,90,2019-10-03,50,50,2019-10-10,43,70,2019-10-17,43,60,2019-10-24,52,60,2019-10-31,61,100,2019-10-08,98,100,2019-11-08,96,100,2019-12-08,rhonda.rice@univ.edu,1,8,9,14,6,9,0.61,0.98,0.96,0.7675675675675676,0.780420634920635,0.780420634920635,0.6666666666666666,0.6658747135217722,0.6666666666666666,0.7846682539682539,79.0,C
115,"Elliott, Richard",Richard,Elliott,rge65208,49.0,80,2019-08-29,64,80,2019-09-05,76,80,2019-09-12,80,100,2019-09-19,49,70,2019-09-26,65,90,2019-10-03,41,50,2019-10-10,55,70,2019-10-17,37,60,2019-10-24,42,60,2019-10-31,66,100,2019-10-08,64,100,2019-11-08,74,100,2019-12-08,richard.elliott@univ.edu,1,6,13,17,11,12,0.66,0.64,0.74,0.754054054054054,0.7507103174603175,0.754054054054054,0.855072463768116,0.8395670995670995,0.855072463768116,0.7661433607520565,77.0,C
116,"Bennett, Richard",Richard,Bennett,rjb91830,76.0,80,2019-08-29,75,80,2019-09-05,77,80,2019-09-12,68,100,2019-09-19,49,70,2019-09-26,80,90,2019-10-03,34,50,2019-10-10,45,70,2019-10-17,57,60,2019-10-24,53,60,2019-10-31,66,100,2019-10-08,97,100,2019-11-08,88,100,2019-12-08,richard.bennett@univ.edu,1,10,6,9,8,10,0.66,0.97,0.88,0.8297297297297297,0.8275079365079365,0.8297297297297297,0.6231884057971014,0.6486529157117393,0.6486529157117393,0.7884877666054138,79.0,C
117,"Saunders, Richard",Richard,Saunders,rxs30280,53.0,80,2019-08-29,56,80,2019-09-05,48,80,2019-09-12,87,100,2019-09-19,46,70,2019-09-26,55,90,2019-10-03,32,50,2019-10-10,57,70,2019-10-17,56,60,2019-10-24,36,60,2019-10-31,65,100,2019-10-08,93,100,2019-11-08,64,100,2019-12-08,richard.saunders@univ.edu,1,10,8,15,12,12,0.65,0.93,0.64,0.7108108108108108,0.7088373015873015,0.7108108108108108,0.8260869565217391,0.836384008148714,0.836384008148714,0.7567395267689385,76.0,C
122,"Weber, Samuel",Samuel,Weber,sxw76890,71.0,80,2019-08-29,78,80,2019-09-05,74,80,2019-09-12,86,100,2019-09-19,69,70,2019-09-26,81,90,2019-10-03,31,50,2019-10-10,48,70,2019-10-17,55,60,2019-10-24,44,60,2019-10-31,79,100,2019-10-08,96,100,2019-11-08,86,100,2019-12-08,samuel.weber@univ.edu,1,6,12,14,5,6,0.79,0.96,0.86,0.8608108108108108,0.8488928571428571,0.8608108108108108,0.6231884057971014,0.6052253628724217,0.6231884057971014,0.7957808460634548,80.0,B
123,"Thomas, Sandra",Sandra,Thomas,sxt33634,65.0,80,2019-08-29,66,80,2019-09-05,67,80,2019-09-12,68,100,2019-09-19,69,70,2019-09-26,65,90,2019-10-03,39,50,2019-10-10,64,70,2019-10-17,41,60,2019-10-24,38,60,2019-10-31,88,100,2019-10-08,62,100,2019-11-08,96,100,2019-12-08,sandra.thomas@univ.edu,1,9,10,14,8,4,0.88,0.62,0.96,0.7864864864864864,0.787388888888889,0.787388888888889,0.6521739130434783,0.6426279602750191,0.6521739130434783,0.7606077294685991,77.0,C
124,"Vasquez, Sara",Sara,Vasquez,sxv18182,63.0,80,2019-08-29,65,80,2019-09-05,67,80,2019-09-12,98,100,2019-09-19,70,70,2019-09-26,65,90,2019-10-03,32,50,2019-10-10,55,70,2019-10-17,40,60,2019-10-24,38,60,2019-10-31,64,100,2019-10-08,73,100,2019-11-08,75,100,2019-12-08,sara.vasquez@univ.edu,1,5,7,8,6,5,0.64,0.73,0.75,0.8013513513513514,0.7865436507936507,0.8013513513513514,0.4492753623188406,0.4474076903488668,0.4492753623188406,0.6728231492361927,68.0,D
