,Name,First Name,Last Name,Identifier,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,Email,Section,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total quizzes,Average quizzes,Quiz Score,Final score,Ceiling score,Final Grade
31,"Reyes, Carol",Carol,Reyes,cxr98775,75.0,80,2019-08-29,80,80,2019-09-05,66,80,2019-09-12,62,100,2019-09-19,60,70,2019-09-26,66,90,2019-10-03,37,50,2019-10-10,65,70,2019-10-17,44,60,2019-10-24,51,60,2019-10-31,99,100,2019-10-08,91,100,2019-11-08,90,100,2019-12-08,carol.reyes@univ.edu,3,5,15,8,14,6,0.99,0.91,0.9,0.8189189189189189,0.8224880952380953,0.8224880952380953,0.6956521739130435,0.6850267379679145,0.6956521739130435,0.8131908902691511,82.0,B
37,"Smith, Crystal",Crystal,Smith,cjs43553,63.0,80,2019-08-29,80,80,2019-09-05,59,80,2019-09-12,90,100,2019-09-19,48,70,2019-09-26,66,90,2019-10-03,48,50,2019-10-10,64,70,2019-10-17,52,60,2019-10-24,58,60,2019-10-31,85,100,2019-10-08,88,100,2019-11-08,60,100,2019-12-08,crystal.smith@univ.edu,3,6,14,8,14,5,0.85,0.88,0.6,0.8486486486486486,0.8551666666666667,0.8551666666666667,0.6811594202898551,0.6732085561497325,0.6811594202898551,0.7669144927536233,77.0,C
42,"Lee, Danielle",Danielle,Lee,dsl24347,69.0,80,2019-08-29,51,80,2019-09-05,70,80,2019-09-12,96,100,2019-09-19,51,70,2019-09-26,77,90,2019-10-03,37,50,2019-10-10,52,70,2019-10-17,49,60,2019-10-24,57,60,2019-10-31,62,100,2019-10-08,70,100,2019-11-08,90,100,2019-12-08,danielle.lee@univ.edu,3,7,14,10,5,7,0.62,0.7,0.9,0.822972972972973,0.8168650793650792,0.822972972972973,0.6231884057971014,0.6196816908581615,0.6231884057971014,0.7521457109283196,76.0,C
48,"Johnson, Dylan",Dylan,Johnson,dxj78877,61.0,80,2019-08-29,48,80,2019-09-05,59,80,2019-09-12,71,100,2019-09-19,42,70,2019-09-26,75,90,2019-10-03,50,50,2019-10-10,49,70,2019-10-17,36,60,2019-10-24,50,60,2019-10-31,72,100,2019-10-08,64,100,2019-11-08,99,100,2019-12-08,dylan.johnson@univ.edu,3,6,9,15,5,10,0.72,0.64,0.99,0.731081081081081,0.7376666666666666,0.7376666666666666,0.6521739130434783,0.6436567354214413,0.6521739130434783,0.7392188405797102,74.0,C
52,"Simpson, Felicia",Felicia,Simpson,fxs77894,59.0,80,2019-08-29,66,80,2019-09-05,77,80,2019-09-12,73,100,2019-09-19,60,70,2019-09-26,90,90,2019-10-03,36,50,2019-10-10,63,70,2019-10-17,53,60,2019-10-24,41,60,2019-10-31,63,100,2019-10-08,90,100,2019-11-08,99,100,2019-12-08,felicia.simpson@univ.edu,3,11,7,13,9,12,0.63,0.9,0.99,0.8351351351351352,0.8298809523809524,0.8351351351351352,0.7536231884057971,0.7748459383753501,0.7748459383753501,0.8365078355666591,84.0,B
53,"Webb, Heather",Heather,Webb,hxw92728,56.0,80,2019-08-29,48,80,2019-09-05,60,80,2019-09-12,60,100,2019-09-19,47,70,2019-09-26,84,90,2019-10-03,35,50,2019-10-10,45,70,2019-10-17,44,60,2019-10-24,40,60,2019-10-31,100,100,2019-10-08,61,100,2019-11-08,62,100,2019-12-08,heather.webb@univ.edu,3,5,11,16,9,4,1.0,0.61,0.62,0.7013513513513514,0.6997619047619048,0.7013513513513514,0.6521739130434783,0.6210491469314998,0.6521739130434783,0.6801927144535841,69.0,D
58,"Reyes, Jason",Jason,Reyes,jxr10806,67.0,80,2019-08-29,66,80,2019-09-05,65,80,2019-09-12,68,100,2019-09-19,57,70,2019-09-26,70,90,2019-10-03,34,50,2019-10-10,64,70,2019-10-17,57,60,2019-10-24,44,60,2019-10-31,70,100,2019-10-08,81,100,2019-11-08,86,100,2019-12-08,jason.reyes@univ.edu,3,9,13,13,6,4,0.7,0.81,0.86,0.8,0.8024682539682539,0.8024682539682539,0.6521739130434783,0.6422918258212376,0.6521739130434783,0.761639475500345,77.0,C
59,"Perez, Jeffrey",Jeffrey,Perez,jxp06435,50.0,80,2019-08-29,56,80,2019-09-05,50,80,2019-09-12,100,100,2019-09-19,53,70,2019-09-26,86,90,2019-10-03,41,50,2019-10-10,58,70,2019-10-17,44,60,2019-10-24,51,60,2019-10-31,67,100,2019-10-08,81,100,2019-11-08,95,100,2019-12-08,jeffrey.perez@univ.edu,3,4,7,12,12,9,0.67,0.81,0.95,0.7959459459459459,0.7894603174603174,0.7959459459459459,0.6376811594202898,0.6286656480774128,0.6376811594202898,0.7666827262044653,77.0,C
62,"Clark, Jill",Jill,Clark,jgc21028,70.0,80,2019-08-29,71,80,2019-09-05,52,80,2019-09-12,96,100,2019-09-19,56,70,2019-09-26,71,90,2019-10-03,36,50,2019-10-10,55,70,2019-10-17,53,60,2019-10-24,50,60,2019-10-31,62,100,2019-10-08,94,100,2019-11-08,88,100,2019-12-08,jill.clark@univ.edu,3,9,6,14,11,4,0.62,0.94,0.88,0.8243243243243243,0.8183769841269841,0.8243243243243243,0.6376811594202898,0.6321517697988287,0.6376811594202898,0.7780340775558168,78.0,C
65,"Rodriguez, John",John,Rodriguez,jsr21334,78.0,80,2019-08-29,76,80,2019-09-05,63,80,2019-09-12,61,100,2019-09-19,52,70,2019-09-26,61,90,2019-10-03,41,50,2019-10-10,55,70,2019-10-17,37,60,2019-10-24,60,60,2019-10-31,92,100,2019-10-08,68,100,2019-11-08,89,100,2019-12-08,john.rodriguez@univ.edu,3,6,12,12,11,7,0.92,0.68,0.89,0.7891891891891892,0.7965515873015873,0.7965515873015873,0.6956521739130435,0.6840769034886682,0.6956521739130435,0.774816287094548,78.0,C
67,"Flower, Gregg",Gregg,Flower,jgf12345,69.0,80,2019-08-29,52,80,2019-09-05,64,80,2019-09-12,75,100,2019-09-19,61,70,2019-09-26,83,90,2019-10-03,41,50,2019-10-10,43,70,2019-10-17,42,60,2019-10-24,40,60,2019-10-31,72,100,2019-10-08,83,100,2019-11-08,77,100,2019-12-08,john.g.2.flower@univ.edu,3,8,8,8,13,5,0.72,0.83,0.77,0.7702702702702703,0.7657103174603176,0.7702702702702703,0.6086956521739131,0.6152864782276548,0.6152864782276548,0.7271940515764046,73.0,C
76,"Rhodes, Kimberly",Kimberly,Rhodes,kpr82051,60.0,80,2019-08-29,61,80,2019-09-05,60,80,2019-09-12,79,100,2019-09-19,42,70,2019-09-26,86,90,2019-10-03,34,50,2019-10-10,48,70,2019-10-17,48,60,2019-10-24,47,60,2019-10-31,61,100,2019-10-08,62,100,2019-11-08,97,100,2019-12-08,kimberly.rhodes@univ.edu,3,9,13,16,12,6,0.61,0.62,0.97,0.7635135135135135,0.7557103174603175,0.7635135135135135,0.8115942028985508,0.7966335625159154,0.8115942028985508,0.7868836662749706,79.0,C
79,"Mccall, Kimberly",Kimberly,Mccall,kxm62826,61.0,80,2019-08-29,53,80,2019-09-05,79,80,2019-09-12,95,100,2019-09-19,44,70,2019-09-26,87,90,2019-10-03,36,50,2019-10-10,48,70,2019-10-17,60,60,2019-10-24,57,60,2019-10-31,79,100,2019-10-08,98,100,2019-11-08,60,100,2019-12-08,kimberly.mccall@univ.edu,3,11,15,10,12,4,0.79,0.98,0.6,0.8378378378378378,0.8313452380952381,0.8378378378378378,0.7536231884057971,0.7557422969187676,0.7557422969187676,0.7893578242107654,79.0,C
81,"Reid, Laura",Laura,Reid,lcr30757,51.0,80,2019-08-29,75,80,2019-09-05,48,80,2019-09-12,62,100,2019-09-19,42,70,2019-09-26,54,90,2019-10-03,32,50,2019-10-10,61,70,2019-10-17,49,60,2019-10-24,46,60,2019-10-31,64,100,2019-10-08,86,100,2019-11-08,86,100,2019-12-08,laura.reid@univ.edu,3,4,13,10,8,12,0.64,0.86,0.86,0.7027027027027027,0.7089761904761904,0.7089761904761904,0.6811594202898551,0.6779933791698498,0.6811594202898551,0.7349383022774327,74.0,C
85,"Wilkerson, Levi",Levi,Wilkerson,lkw48972,52.0,80,2019-08-29,80,80,2019-09-05,75,80,2019-09-12,62,100,2019-09-19,43,70,2019-09-26,70,90,2019-10-03,33,50,2019-10-10,42,70,2019-10-17,38,60,2019-10-24,42,60,2019-10-31,71,100,2019-10-08,96,100,2019-11-08,93,100,2019-12-08,levi.wilkerson@univ.edu,3,11,13,8,14,12,0.71,0.96,0.93,0.7256756756756757,0.7192896825396825,0.7256756756756757,0.8405797101449275,0.867450980392157,0.867450980392157,0.8215055643879173,83.0,B
86,"Friedman, Linda",Linda,Friedman,llf55044,49.0,80,2019-08-29,70,80,2019-09-05,62,80,2019-09-12,83,100,2019-09-19,58,70,2019-09-26,79,90,2019-10-03,42,50,2019-10-10,60,70,2019-10-17,54,60,2019-10-24,42,60,2019-10-31,64,100,2019-10-08,86,100,2019-11-08,70,100,2019-12-08,linda.friedman@univ.edu,3,10,9,8,5,8,0.64,0.86,0.7,0.8094594594594594,0.8095992063492063,0.8095992063492063,0.5797101449275363,0.6006977336389101,0.6006977336389101,0.7270490026313556,73.0,C
90,"Davidson, Luke",Luke,Davidson,lxd16906,49.0,80,2019-08-29,77,80,2019-09-05,77,80,2019-09-12,94,100,2019-09-19,45,70,2019-09-26,69,90,2019-10-03,40,50,2019-10-10,53,70,2019-10-17,55,60,2019-10-24,55,60,2019-10-31,92,100,2019-10-08,62,100,2019-11-08,60,100,2019-12-08,luke.davidson@univ.edu,3,7,14,14,8,5,0.92,0.62,0.6,0.8297297297297297,0.82775,0.8297297297297297,0.6956521739130435,0.6762643239113827,0.6956521739130435,0.738587544065805,74.0,C
98,"Poole, Melissa",Melissa,Poole,mxp86000,62.0,80,2019-08-29,70,80,2019-09-05,70,80,2019-09-12,73,100,2019-09-19,54,70,2019-09-26,82,90,2019-10-03,43,50,2019-10-10,65,70,2019-10-17,54,60,2019-10-24,51,60,2019-10-31,88,100,2019-10-08,97,100,2019-11-08,83,100,2019-12-08,melissa.poole@univ.edu,3,9,7,17,12,5,0.88,0.97,0.83,0.8432432432432433,0.8476111111111113,0.8476111111111113,0.7246376811594203,0.7117316017316018,0.7246376811594203,0.8219357487922707,83.0,B
99,"Benton, Michael",Michael,Benton,mxb67936,54.0,80,2019-08-29,66,80,2019-09-05,68,80,2019-09-12,65,100,2019-09-19,50,70,2019-09-26,63,90,2019-10-03,49,50,2019-10-10,52,70,2019-10-17,48,60,2019-10-24,46,60,2019-10-31,78,100,2019-10-08,91,100,2019-11-08,91,100,2019-12-08,michael.benton@univ.edu,3,7,6,17,10,4,0.78,0.91,0.91,0.7581081081081081,0.7703809523809524,0.7703809523809524,0.6376811594202898,0.6167965367965368,0.6376811594202898,0.7659567287784679,77.0,C
104,"Bates, Nathan",Nathan,Bates,nsb43944,68.0,80,2019-08-29,67,80,2019-09-05,69,80,2019-09-12,72,100,2019-09-19,61,70,2019-09-26,80,90,2019-10-03,33,50,2019-10-10,64,70,2019-10-17,55,60,2019-10-24,55,60,2019-10-31,71,100,2019-10-08,76,100,2019-11-08,82,100,2019-12-08,nathan.bates@univ.edu,3,6,12,6,11,10,0.71,0.76,0.82,0.8432432432432433,0.843793650793651,0.843793650793651,0.6521739130434783,0.6634886681945507,0.6634886681945507,0.7710640607758257,78.0,C
106,"Edwards, Nicole",Nicole,Edwards,nxe44872,62.0,80,2019-08-29,76,80,2019-09-05,62,80,2019-09-12,79,100,2019-09-19,64,70,2019-09-26,74,90,2019-10-03,37,50,2019-10-10,58,70,2019-10-17,58,60,2019-10-24,51,60,2019-10-31,89,100,2019-10-08,63,100,2019-11-08,65,100,2019-12-08,nicole.edwards@univ.edu,3,10,12,9,12,10,0.89,0.63,0.65,0.8391891891891892,0.8411746031746032,0.8411746031746032,0.7681159420289855,0.7857957728545963,0.7857957728545963,0.7772085731262202,78.0,C
107,"Patterson, Nicole",Nicole,Patterson,njp08545,66.0,80,2019-08-29,66,80,2019-09-05,55,80,2019-09-12,89,100,2019-09-19,49,70,2019-09-26,83,90,2019-10-03,48,50,2019-10-10,59,70,2019-10-17,37,60,2019-10-24,53,60,2019-10-31,96,100,2019-10-08,91,100,2019-11-08,95,100,2019-12-08,nicole.patterson@univ.edu,3,6,14,10,13,10,0.96,0.91,0.95,0.8175675675675675,0.8152579365079365,0.8175675675675675,0.7681159420289855,0.7657855869620576,0.7681159420289855,0.8389618096357226,84.0,B
110,"Evans, Patricia",Patricia,Evans,pxe53402,57.0,80,2019-08-29,74,80,2019-09-05,69,80,2019-09-12,64,100,2019-09-19,57,70,2019-09-26,66,90,2019-10-03,40,50,2019-10-10,69,70,2019-10-17,44,60,2019-10-24,48,60,2019-10-31,72,100,2019-10-08,91,100,2019-11-08,68,100,2019-12-08,patricia.evans@univ.edu,3,9,9,8,12,4,0.72,0.91,0.68,0.7945945945945946,0.8006666666666667,0.8006666666666667,0.6086956521739131,0.6158492487904252,0.6158492487904252,0.7340214413037942,74.0,C
111,"Johnson, Paul",Paul,Johnson,pmj37756,73.0,80,2019-08-29,50,80,2019-09-05,55,80,2019-09-12,65,100,2019-09-19,47,70,2019-09-26,76,90,2019-10-03,32,50,2019-10-10,55,70,2019-10-17,40,60,2019-10-24,51,60,2019-10-31,84,100,2019-10-08,80,100,2019-11-08,94,100,2019-12-08,paul.johnson@univ.edu,3,10,14,9,11,10,0.84,0.8,0.94,0.7351351351351352,0.7333253968253968,0.7351351351351352,0.782608695652174,0.7981767252355487,0.7981767252355487,0.7965070716247187,80.0,B
112,"Dennis, Rachel",Rachel,Dennis,rxd55884,73.0,80,2019-08-29,67,80,2019-09-05,75,80,2019-09-12,65,100,2019-09-19,43,70,2019-09-26,69,90,2019-10-03,44,50,2019-10-10,52,70,2019-10-17,51,60,2019-10-24,41,60,2019-10-31,72,100,2019-10-08,98,100,2019-11-08,86,100,2019-12-08,rachel.dennis@univ.edu,3,7,6,7,6,11,0.72,0.98,0.86,0.7837837837837838,0.7874642857142857,0.7874642857142857,0.5362318840579711,0.558673287496817,0.558673287496817,0.7455877005347594,75.0,C
114,"Price, Ricardo",Ricardo,Price,rxp56459,77.0,80,2019-08-29,74,80,2019-09-05,67,80,2019-09-12,67,100,2019-09-19,67,70,2019-09-26,58,90,2019-10-03,41,50,2019-10-10,60,70,2019-10-17,38,60,2019-10-24,55,60,2019-10-31,68,100,2019-10-08,92,100,2019-11-08,75,100,2019-12-08,ricardo.price@univ.edu,3,10,12,8,14,12,0.68,0.92,0.75,0.8162162162162162,0.8223730158730158,0.8223730158730158,0.8115942028985508,0.8359358288770053,0.8359358288770053,0.8182299550123079,82.0,B
118,"Johnston, Robert",Robert,Johnston,rsj94156,74.0,80,2019-08-29,64,80,2019-09-05,64,80,2019-09-12,76,100,2019-09-19,64,70,2019-09-26,56,90,2019-10-03,32,50,2019-10-10,46,70,2019-10-17,43,60,2019-10-24,43,60,2019-10-31,98,100,2019-10-08,61,100,2019-11-08,74,100,2019-12-08,robert.johnston@univ.edu,3,9,12,13,10,5,0.98,0.61,0.74,0.7594594594594595,0.7551984126984127,0.7594594594594595,0.7101449275362319,0.702768016297428,0.7101449275362319,0.7378272620446533,74.0,C
125,"Jones, Sarah",Sarah,Jones,sxj49423,62.0,80,2019-08-29,49,80,2019-09-05,55,80,2019-09-12,80,100,2019-09-19,49,70,2019-09-26,71,90,2019-10-03,37,50,2019-10-10,60,70,2019-10-17,36,60,2019-10-24,37,60,2019-10-31,89,100,2019-10-08,68,100,2019-11-08,94,100,2019-12-08,sarah.jones@univ.edu,3,9,15,15,14,12,0.89,0.68,0.94,0.7243243243243244,0.7177698412698412,0.7243243243243244,0.9420289855072463,0.9401069518716578,0.9420289855072463,0.8258384253819037,83.0,B
126,"Cervantes, Scott",Scott,Cervantes,sxc85021,51.0,80,2019-08-29,70,80,2019-09-05,65,80,2019-09-12,78,100,2019-09-19,65,70,2019-09-26,68,90,2019-10-03,45,50,2019-10-10,66,70,2019-10-17,55,60,2019-10-24,56,60,2019-10-31,60,100,2019-10-08,100,100,2019-11-08,89,100,2019-12-08,scott.cervantes@univ.edu,3,4,8,9,12,9,0.6,1.0,0.89,0.8364864864864865,0.8481984126984129,0.8481984126984129,0.6086956521739131,0.6067048637636873,0.6086956521739131,0.7853880607315391,79.0,C
131,"Sampson, Stephanie",Stephanie,Sampson,sxs30610,77.0,80,2019-08-29,50,80,2019-09-05,57,80,2019-09-12,81,100,2019-09-19,69,70,2019-09-26,84,90,2019-10-03,39,50,2019-10-10,54,70,2019-10-17,46,60,2019-10-24,59,60,2019-10-31,87,100,2019-10-08,100,100,2019-11-08,75,100,2019-12-08,stephanie.sampson@univ.edu,3,10,10,6,12,4,0.87,1.0,0.75,0.8324324324324325,0.833047619047619,0.833047619047619,0.6086956521739131,0.6238349885408709,0.6238349885408709,0.7763695441813089,78.0,C
135,"Leon, Tammy",Tammy,Leon,tgl37922,63.0,80,2019-08-29,75,80,2019-09-05,63,80,2019-09-12,70,100,2019-09-19,64,70,2019-09-26,87,90,2019-10-03,33,50,2019-10-10,55,70,2019-10-17,47,60,2019-10-24,42,60,2019-10-31,88,100,2019-10-08,90,100,2019-11-08,87,100,2019-12-08,tammy.leon@univ.edu,3,4,14,17,6,4,0.88,0.9,0.87,0.8094594594594594,0.8022500000000001,0.8094594594594594,0.6521739130434783,0.6117748917748917,0.6521739130434783,0.7839359576968273,79.0,C
142,"Ramirez, Timothy",Timothy,Ramirez,txr84689,72.0,80,2019-08-29,73,80,2019-09-05,65,80,2019-09-12,73,100,2019-09-19,49,70,2019-09-26,79,90,2019-10-03,49,50,2019-10-10,57,70,2019-10-17,54,60,2019-10-24,51,60,2019-10-31,84,100,2019-10-08,69,100,2019-11-08,87,100,2019-12-08,timothy.ramirez@univ.edu,3,4,8,13,6,4,0.84,0.69,0.87,0.8405405405405405,0.8477063492063494,0.8477063492063494,0.5072463768115942,0.48471606824547997,0.5072463768115942,0.732756452726018,74.0,C
146,"Raymond, Troy",Troy,Raymond,tbr17292,50.0,80,2019-08-29,59,80,2019-09-05,79,80,2019-09-12,98,100,2019-09-19,65,70,2019-09-26,68,90,2019-10-03,44,50,2019-10-10,66,70,2019-10-17,45,60,2019-10-24,49,60,2019-10-31,91,100,2019-10-08,67,100,2019-11-08,100,100,2019-12-08,troy.raymond@univ.edu,3,7,7,14,7,5,0.91,0.67,1.0,0.8418918918918918,0.8403650793650794,0.8418918918918918,0.5797101449275363,0.5686452762923351,0.5797101449275363,0.7731698002350176,78.0,C
