,Name,First Name,Last Name,Identifier,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,Email,Section,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total quizzes,Average quizzes,Quiz Score,Final score,Ceiling score,Final Grade
44,"Garcia, Desiree",Desiree,Garcia,dsg54218,68.0,80,2019-08-29,78,80,2019-09-05,77,80,2019-09-12,95,100,2019-09-19,60,70,2019-09-26,73,90,2019-10-03,35,50,2019-10-10,47,70,2019-10-17,45,60,2019-10-24,55,60,2019-10-31,81,100,2019-10-08,99,100,2019-11-08,70,100,2019-12-08,desiree.garcia@univ.edu,2,8,10,6,10,6,0.81,0.99,0.7,0.8554054054054054,0.8443849206349207,0.8554054054054054,0.5797101449275363,0.5922332569391393,0.5922332569391393,0.764332139243904,77.0,C
45,"Delgado, Desiree",Desiree,Delgado,djd31335,69.0,80,2019-08-29,74,80,2019-09-05,74,80,2019-09-12,64,100,2019-09-19,60,70,2019-09-26,55,90,2019-10-03,31,50,2019-10-10,55,70,2019-10-17,55,60,2019-10-24,51,60,2019-10-31,88,100,2019-10-08,69,100,2019-11-08,78,100,2019-12-08,desiree.delgado@univ.edu,2,4,7,9,8,4,0.88,0.69,0.78,0.7945945945945946,0.7993134920634921,0.7993134920634921,0.463768115942029,0.4528953399541635,0.463768115942029,0.6888558316080056,69.0,D
54,"Glover, Heidi",Heidi,Glover,hxg56446,65.0,80,2019-08-29,52,80,2019-09-05,60,80,2019-09-12,65,100,2019-09-19,45,70,2019-09-26,81,90,2019-10-03,47,50,2019-10-10,43,70,2019-10-17,51,60,2019-10-24,48,60,2019-10-31,60,100,2019-10-08,83,100,2019-11-08,83,100,2019-12-08,heidi.glover@univ.edu,2,4,14,10,7,9,0.6,0.83,0.83,0.7527027027027027,0.7609642857142856,0.7609642857142856,0.6376811594202898,0.6270409982174688,0.6376811594202898,0.7331900621118012,74.0,C
55,"Watson, Holly",Holly,Watson,hsw06874,66.0,80,2019-08-29,51,80,2019-09-05,66,80,2019-09-12,79,100,2019-09-19,53,70,2019-09-26,55,90,2019-10-03,35,50,2019-10-10,61,70,2019-10-17,49,60,2019-10-24,49,60,2019-10-31,81,100,2019-10-08,100,100,2019-11-08,90,100,2019-12-08,holly.watson@univ.edu,2,11,12,10,6,5,0.81,1.0,0.9,0.7621621621621621,0.7650515873015872,0.7650515873015872,0.6376811594202898,0.6466946778711484,0.6466946778711484,0.7755290382819795,78.0,C
57,"Johnson, Jamie",Jamie,Johnson,jxj82678,74.0,80,2019-08-29,78,80,2019-09-05,76,80,2019-09-12,100,100,2019-09-19,66,70,2019-09-26,85,90,2019-10-03,40,50,2019-10-10,67,70,2019-10-17,36,60,2019-10-24,50,60,2019-10-31,63,100,2019-10-08,71,100,2019-11-08,90,100,2019-12-08,jamie.johnson@univ.edu,2,5,14,16,9,6,0.63,0.71,0.9,0.9081081081081082,0.8927777777777779,0.9081081081081082,0.7246376811594203,0.6943824802648332,0.7246376811594203,0.8181345475910694,82.0,B
63,"Odom, John",John,Odom,jxo31236,59.0,80,2019-08-29,59,80,2019-09-05,60,80,2019-09-12,61,100,2019-09-19,44,70,2019-09-26,62,90,2019-10-03,34,50,2019-10-10,66,70,2019-10-17,52,60,2019-10-24,55,60,2019-10-31,85,100,2019-10-08,100,100,2019-11-08,80,100,2019-12-08,john.odom@univ.edu,2,11,15,8,9,6,0.85,1.0,0.8,0.745945945945946,0.7558650793650794,0.7558650793650794,0.7101449275362319,0.7226890756302521,0.7226890756302521,0.7816527544351074,79.0,C
68,"Woodard, John",John,Woodard,jxw87000,51.0,80,2019-08-29,68,80,2019-09-05,56,80,2019-09-12,71,100,2019-09-19,69,70,2019-09-26,60,90,2019-10-03,33,50,2019-10-10,56,70,2019-10-17,41,60,2019-10-24,60,60,2019-10-31,68,100,2019-10-08,93,100,2019-11-08,62,100,2019-12-08,john.woodard@univ.edu,2,11,14,11,13,8,0.68,0.93,0.62,0.7635135135135135,0.7693214285714286,0.7693214285714286,0.8260869565217391,0.8351260504201681,0.8351260504201681,0.7782663865546219,78.0,C
74,"Brown, Kelsey",Kelsey,Brown,ksb85997,78.0,80,2019-08-29,68,80,2019-09-05,52,80,2019-09-12,80,100,2019-09-19,51,70,2019-09-26,70,90,2019-10-03,49,50,2019-10-10,46,70,2019-10-17,59,60,2019-10-24,56,60,2019-10-31,80,100,2019-10-08,69,100,2019-11-08,83,100,2019-12-08,kelsey.brown@univ.edu,2,10,15,9,14,4,0.8,0.69,0.83,0.822972972972973,0.8335158730158732,0.8335158730158732,0.7536231884057971,0.754367201426025,0.754367201426025,0.7932165096341568,80.0,B
78,"Williams, Kimberly",Kimberly,Williams,kxw26270,72.0,80,2019-08-29,80,80,2019-09-05,63,80,2019-09-12,87,100,2019-09-19,57,70,2019-09-26,71,90,2019-10-03,30,50,2019-10-10,43,70,2019-10-17,42,60,2019-10-24,49,60,2019-10-31,82,100,2019-10-08,95,100,2019-11-08,85,100,2019-12-08,kimberly.williams@univ.edu,2,6,6,11,11,9,0.82,0.95,0.85,0.8027027027027027,0.7891626984126984,0.8027027027027027,0.6231884057971014,0.6256455309396486,0.6256455309396486,0.7722747403629757,78.0,C
82,"Brock, Lauren",Lauren,Brock,lmb95641,74.0,80,2019-08-29,58,80,2019-09-05,62,80,2019-09-12,82,100,2019-09-19,54,70,2019-09-26,87,90,2019-10-03,30,50,2019-10-10,51,70,2019-10-17,60,60,2019-10-24,54,60,2019-10-31,75,100,2019-10-08,72,100,2019-11-08,96,100,2019-12-08,lauren.brock@univ.edu,2,7,14,11,12,7,0.75,0.72,0.96,0.827027027027027,0.8211666666666666,0.827027027027027,0.7391304347826086,0.7314463967405145,0.7391304347826086,0.8060499412455935,81.0,B
83,"Anderson, Lauren",Lauren,Anderson,lba53221,55.0,80,2019-08-29,75,80,2019-09-05,57,80,2019-09-12,75,100,2019-09-19,47,70,2019-09-26,83,90,2019-10-03,48,50,2019-10-10,44,70,2019-10-17,44,60,2019-10-24,56,60,2019-10-31,94,100,2019-10-08,67,100,2019-11-08,86,100,2019-12-08,lauren.anderson@univ.edu,2,8,6,11,11,6,0.94,0.67,0.86,0.7891891891891892,0.793638888888889,0.793638888888889,0.6086956521739131,0.6120091673032849,0.6120091673032849,0.7440583057465411,75.0,C
84,"Sparks, Leslie",Leslie,Sparks,lxs77616,66.0,80,2019-08-29,77,80,2019-09-05,54,80,2019-09-12,66,100,2019-09-19,48,70,2019-09-26,56,90,2019-10-03,38,50,2019-10-10,63,70,2019-10-17,43,60,2019-10-24,50,60,2019-10-31,61,100,2019-10-08,95,100,2019-11-08,90,100,2019-12-08,leslie.sparks@univ.edu,2,7,9,16,8,8,0.61,0.95,0.9,0.7581081081081081,0.7640436507936509,0.7640436507936509,0.6956521739130435,0.6831270690094219,0.6956521739130435,0.7748131124913734,78.0,C
87,"Gordon, Lori",Lori,Gordon,lxg35058,52.0,80,2019-08-29,74,80,2019-09-05,75,80,2019-09-12,79,100,2019-09-19,67,70,2019-09-26,72,90,2019-10-03,50,50,2019-10-10,51,70,2019-10-17,40,60,2019-10-24,38,60,2019-10-31,88,100,2019-10-08,96,100,2019-11-08,76,100,2019-12-08,lori.gordon@univ.edu,2,9,15,12,7,7,0.88,0.96,0.76,0.8081081081081081,0.8088214285714287,0.8088214285714287,0.7246376811594203,0.7214795008912657,0.7246376811594203,0.7949198757763976,80.0,B
88,"Carter, Lorraine",Lorraine,Carter,lxc64780,50.0,80,2019-08-29,66,80,2019-09-05,62,80,2019-09-12,80,100,2019-09-19,42,70,2019-09-26,66,90,2019-10-03,38,50,2019-10-10,56,70,2019-10-17,45,60,2019-10-24,43,60,2019-10-31,68,100,2019-10-08,69,100,2019-11-08,99,100,2019-12-08,lorraine.carter@univ.edu,2,5,13,14,12,10,0.68,0.69,0.99,0.7405405405405405,0.7384999999999999,0.7405405405405405,0.782608695652174,0.7670435446906035,0.782608695652174,0.7824988249118685,79.0,C
91,"Lambert, Malaika",Malaika,Lambert,mxl12345,63.0,80,2019-08-29,57,80,2019-09-05,78,80,2019-09-12,83,100,2019-09-19,61,70,2019-09-26,88,90,2019-10-03,42,50,2019-10-10,58,70,2019-10-17,45,60,2019-10-24,37,60,2019-10-31,60,100,2019-10-08,91,100,2019-11-08,93,100,2019-12-08,malaika.lambert@univ.edu,2,8,10,10,13,6,0.6,0.91,0.93,0.827027027027027,0.8189444444444444,0.827027027027027,0.6811594202898551,0.682149223325694,0.682149223325694,0.795955577808519,80.0,B
92,"Stevens, Marcia",Marcia,Stevens,mxs29840,51.0,80,2019-08-29,72,80,2019-09-05,60,80,2019-09-12,84,100,2019-09-19,68,70,2019-09-26,73,90,2019-10-03,50,50,2019-10-10,65,70,2019-10-17,59,60,2019-10-24,59,60,2019-10-31,63,100,2019-10-08,99,100,2019-11-08,83,100,2019-12-08,marcia.stevens@univ.edu,2,7,15,17,10,12,0.63,0.99,0.83,0.8662162162162163,0.8805277777777777,0.8805277777777777,0.8840579710144928,0.8701298701298701,0.8840579710144928,0.872428502415459,88.0,B
93,"James, Margaret",Margaret,James,mjj83180,67.0,80,2019-08-29,63,80,2019-09-05,48,80,2019-09-12,81,100,2019-09-19,62,70,2019-09-26,89,90,2019-10-03,36,50,2019-10-10,57,70,2019-10-17,48,60,2019-10-24,51,60,2019-10-31,85,100,2019-10-08,90,100,2019-11-08,97,100,2019-12-08,margaret.james@univ.edu,2,8,11,9,7,11,0.85,0.9,0.97,0.8135135135135135,0.8093888888888889,0.8135135135135135,0.6666666666666666,0.6813368983957219,0.6813368983957219,0.807806474924122,81.0,B
100,"Taylor, Michael",Michael,Taylor,mat59156,58.0,80,2019-08-29,60,80,2019-09-05,50,80,2019-09-12,72,100,2019-09-19,46,70,2019-09-26,68,90,2019-10-03,37,50,2019-10-10,49,70,2019-10-17,47,60,2019-10-24,36,60,2019-10-31,91,100,2019-10-08,68,100,2019-11-08,66,100,2019-12-08,michael.taylor@univ.edu,2,5,15,13,12,5,0.91,0.68,0.66,0.7067567567567568,0.7056031746031747,0.7067567567567568,0.7246376811594203,0.6986121721415839,0.7246376811594203,0.7125940070505288,72.0,C
102,"Scott, Michelle",Michelle,Scott,mxs33225,52.0,80,2019-08-29,55,80,2019-09-05,72,80,2019-09-12,66,100,2019-09-19,44,70,2019-09-26,79,90,2019-10-03,35,50,2019-10-10,52,70,2019-10-17,50,60,2019-10-24,42,60,2019-10-31,87,100,2019-10-08,77,100,2019-11-08,92,100,2019-12-08,michelle.scott@univ.edu,2,7,15,12,14,7,0.87,0.77,0.92,0.7391891891891892,0.7380039682539683,0.7391891891891892,0.7971014492753623,0.7851158645276293,0.7971014492753623,0.7933061104582844,80.0,B
108,"Rush, Oscar",Oscar,Rush,oxr30270,50.0,80,2019-08-29,56,80,2019-09-05,65,80,2019-09-12,80,100,2019-09-19,42,70,2019-09-26,68,90,2019-10-03,34,50,2019-10-10,67,70,2019-10-17,57,60,2019-10-24,40,60,2019-10-31,74,100,2019-10-08,80,100,2019-11-08,66,100,2019-12-08,oscar.rush@univ.edu,2,5,14,7,5,5,0.74,0.8,0.66,0.7554054054054054,0.754686507936508,0.7554054054054054,0.5217391304347826,0.514690603514133,0.5217391304347826,0.6746839012925969,68.0,D
119,"Douglas, Robert",Robert,Douglas,rxd29805,57.0,80,2019-08-29,53,80,2019-09-05,73,80,2019-09-12,78,100,2019-09-19,42,70,2019-09-26,83,90,2019-10-03,41,50,2019-10-10,69,70,2019-10-17,44,60,2019-10-24,39,60,2019-10-31,86,100,2019-10-08,67,100,2019-11-08,87,100,2019-12-08,robert.douglas@univ.edu,2,8,9,13,10,8,0.86,0.67,0.87,0.7824324324324324,0.7778769841269841,0.7824324324324324,0.6956521739130435,0.6945861981156098,0.6956521739130435,0.762168625146886,77.0,C
120,"Flores, Russell",Russell,Flores,rcf61653,48.0,80,2019-08-29,68,80,2019-09-05,71,80,2019-09-12,77,100,2019-09-19,68,70,2019-09-26,90,90,2019-10-03,30,50,2019-10-10,64,70,2019-10-17,47,60,2019-10-24,56,60,2019-10-31,64,100,2019-10-08,78,100,2019-11-08,98,100,2019-12-08,russell.flores@univ.edu,2,7,8,13,9,12,0.64,0.78,0.98,0.8364864864864865,0.8309880952380952,0.8364864864864865,0.7101449275362319,0.7154519989814108,0.7154519989814108,0.8062301942890179,81.0,B
121,"Smith, Samantha",Samantha,Smith,sxs90647,48.0,80,2019-08-29,61,80,2019-09-05,49,80,2019-09-12,70,100,2019-09-19,61,70,2019-09-26,87,90,2019-10-03,36,50,2019-10-10,59,70,2019-10-17,53,60,2019-10-24,44,60,2019-10-31,69,100,2019-10-08,100,100,2019-11-08,74,100,2019-12-08,samantha.smith@univ.edu,2,6,7,17,5,6,0.69,1.0,0.74,0.7675675675675676,0.7692619047619046,0.7692619047619046,0.5942028985507246,0.5738528138528138,0.5942028985507246,0.7314656314699792,74.0,C
128,"Rogers, Sherry",Sherry,Rogers,sbr74322,58.0,80,2019-08-29,60,80,2019-09-05,49,80,2019-09-12,68,100,2019-09-19,50,70,2019-09-26,75,90,2019-10-03,33,50,2019-10-10,44,70,2019-10-17,55,60,2019-10-24,56,60,2019-10-31,63,100,2019-10-08,92,100,2019-11-08,80,100,2019-12-08,sherry.rogers@univ.edu,2,4,12,17,9,11,0.63,0.92,0.8,0.7405405405405405,0.7453690476190478,0.7453690476190478,0.7681159420289855,0.7446320346320345,0.7681159420289855,0.7720824016563147,78.0,C
129,"Good, Sherry",Sherry,Good,smg03171,50.0,80,2019-08-29,48,80,2019-09-05,77,80,2019-09-12,94,100,2019-09-19,54,70,2019-09-26,77,90,2019-10-03,44,50,2019-10-10,62,70,2019-10-17,48,60,2019-10-24,47,60,2019-10-31,89,100,2019-10-08,88,100,2019-11-08,64,100,2019-12-08,sherry.good@univ.edu,2,6,12,7,7,9,0.89,0.88,0.64,0.8121621621621622,0.8103531746031747,0.8121621621621622,0.5942028985507246,0.6014438502673797,0.6014438502673797,0.7337980199450788,74.0,C
130,"Johnson, Stacy",Stacy,Johnson,smj00936,74.0,80,2019-08-29,55,80,2019-09-05,60,80,2019-09-12,67,100,2019-09-19,46,70,2019-09-26,85,90,2019-10-03,43,50,2019-10-10,42,70,2019-10-17,59,60,2019-10-24,48,60,2019-10-31,96,100,2019-10-08,80,100,2019-11-08,86,100,2019-12-08,stacy.johnson@univ.edu,2,6,14,11,7,7,0.96,0.8,0.86,0.7824324324324324,0.7877420634920634,0.7877420634920634,0.6521739130434783,0.6418360071301248,0.6521739130434783,0.7677489993098688,77.0,C
132,"Miller, Stephen",Stephen,Miller,sem28474,50.0,80,2019-08-29,48,80,2019-09-05,63,80,2019-09-12,77,100,2019-09-19,57,70,2019-09-26,81,90,2019-10-03,49,50,2019-10-10,69,70,2019-10-17,55,60,2019-10-24,41,60,2019-10-31,72,100,2019-10-08,70,100,2019-11-08,97,100,2019-12-08,stephen.miller@univ.edu,2,8,10,7,13,4,0.72,0.7,0.97,0.7972972972972973,0.80625,0.80625,0.6086956521739131,0.6135217723453018,0.6135217723453018,0.7580565317035906,76.0,C
